time,TCA_3S,TCANy_3S,TCANyTy_3S,TCANyTyTx_3S,TCANyTyTxS_3S,TCANyTyTxSDevC_3S,TCANyTyTxSDevCNy_3S,TCANyTyTxSDevCNyAN_3S
10,17.61,17.72,17.72,17.72,17.72,17.96,17.72,17.72
20,57.78,57.47,55.85,56.66,56.2,56.66,56.31,56.08
30,66.85,66.16,66.51,67.32,67.2,65.58,66.97,67.09
40,77.85,75.89,76.01,75.89,77.17,76.01,76.47,76.36
50,81.69,82.96,82.03,81.92,83.31,82.73,82.27,82.61
60,85.86,85.63,85.16,85.39,86.32,84.94,85.74,85.28
70,87.14,87.94,87.25,87.36,88.41,87.25,86.79,87.48
80,89.68,88.76,89.68,89.1,89.1,88.53,89.68,89.1
90,89.22,90.61,89.92,90.15,90.61,89.92,90.15,90.03
95,88.64,89.45,90.03,89.45,89.33,89.34,89.33,89.45
110,91.88,90.73,90.84,90.26,90.03,89.45,89.57,88.76
